Natlanguage_query,SQL_query
"DEX41 Distribution of drug exposure start date, stratified by drug","WITH drug_dates AS
  (
    SELECT
        DATEDIFF(d,MIN(drug_exposure_start_date) OVER(partition BY drug_concept_id), drug_exposure_end_date) AS start_date_num,
        drug_exposure_start_date                                                                             AS start_date,
        MIN(drug_exposure_start_date) OVER(partition BY drug_concept_id)                                     AS min_date,
        drug_concept_id                                                                                      AS drug_concept_id
    FROM cdm.drug_exposure
    WHERE drug_concept_id IN (906805, 1517070, 19010522, 19031397)
  )
SELECT
  ordered_data.drug_concept_id,
  min(start_date)                                                                                AS min_date,
  max(start_date)                                                                                AS max_date,
  DATEADD(dd,avg(start_date_num),min_date)                                                       AS avg_date,
  round(STDEV(start_date_num), 1)                                                                AS STDEV_days,
  dateadd(day,MIN(CASE WHEN order_nr < .25 * population_size THEN 999999 ELSE start_date_num END),min_date) AS percentile_25_date,
  dateadd(day,MIN(CASE WHEN order_nr < .50 * population_size THEN 999999 ELSE start_date_num END),min_date) AS median_date,
  dateadd(day,MIN(CASE WHEN order_nr < .75 * population_size THEN 999999 ELSE start_date_num END),min_date) AS percentile_75_date
FROM
 ( SELECT
    drug_concept_id                                                               AS drug_concept_id,
    min_date,
    start_date,
    start_date_num                                                                AS start_date_num,
    ROW_NUMBER() OVER (PARTITION BY drug_concept_id ORDER BY start_date_num)      AS  order_nr
  FROM drug_dates
) AS ordered_data
INNER JOIN
 ( SELECT drug_concept_id,
    COUNT(*) AS population_size
   FROM drug_dates
   GROUP BY drug_concept_id
) AS population_sizes
 ON ordered_data.drug_concept_id = population_sizes.drug_concept_id
GROUP BY ordered_data.drug_concept_id, min_date;"
"DEX42 Counts of genders, stratified by drug","SELECT
  gender_concept_id,
  drug_concept_id,
  COUNT(1) AS gender_count
FROM cdm.drug_exposure
INNER JOIN cdm.person
ON drug_exposure.person_id = person.person_id
      -- Filter by input list of drug_concept_id
WHERE drug_concept_id IN (906805, 1517070, 19010522)
      -- Filter by input list of gender_concept_id  
      AND gender_concept_id IN (8507, 8532)
GROUP BY drug_concept_id, gender_concept_id
ORDER BY drug_concept_id, gender_concept_id;"
"DEX43 Counts of drug exposure records per person, stratified by drug","SELECT
  drug_concept_id,
  person_id,
  COUNT(1) AS drug_exposure_count
FROM cdm.drug_exposure
      -- Filter by input list of drug_concept_id
WHERE drug_concept_id in (906805, 1517070, 19010522)
GROUP BY person_id, drug_concept_id
ORDER BY drug_concept_id, person_id;"
D01 Find drug concept by concept ID,"SELECT 
    c.concept_id AS drug_concept_id,
    c.concept_name AS drug_concept_name,
    c.concept_code AS drug_concept_code,
    c.concept_class_id AS drug_concept_class,
    c.standard_concept AS drug_standard_concept,
    c.vocabulary_id AS drug_concept_vocab_id,
    (CASE c.domain_id WHEN 'Drug' THEN 'Yes' ELSE 'No' END) AS is_drug_concept_flag
FROM cdm.concept AS c
WHERE getdate() >= c.valid_start_date AND getdate() <= c.valid_end_date 
  AND c.concept_id = 1545999
;"
D02 Find drug or class by keyword,"SELECT c.concept_id Entity_Concept_Id, c.concept_name Entity_Name, c.concept_code Entity_Code, 'Concept' Entity_Type, c.concept_class_id Entity_concept_class_id, c.vocabulary_id Entity_vocabulary_id
FROM cdm.concept c
WHERE c.concept_class_id IS NOT NULL
AND c.vocabulary_id in ('NDFRT','RxNorm','Indication','ETC','ATC','VA Class','GCN_SEQNO')
AND LOWER(REPLACE(REPLACE(c.concept_name, ' ', ''), '-', '')) LIKE 'lipitor'
AND getdate() >= c.valid_start_date
AND getdate() <= c.valid_end_date

UNION ALL

SELECT c.concept_id Entity_Concept_Id, c.concept_name Entity_Name, c.concept_code Entity_Code, 'Mapped Code' Entity_Type,
c.concept_class_id Entity_concept_class_id, c.vocabulary_id Entity_vocabulary_id
FROM cdm.concept_relationship cr JOIN cdm.concept c ON c.concept_id = cr.concept_id_1
AND cr.relationship_id = 'Maps to'
AND c.vocabulary_id IN ('NDC', 'GPI', 'Multum', 'Multilex', 'VA Product', 'MeSH', 'SPL')
AND LOWER(REPLACE(REPLACE(c.concept_name, ' ', ''), '-', '')) LIKE 'lipitor'
AND getdate() >= c.valid_start_date
AND getdate() <= c.valid_end_date

UNION ALL

SELECT c.concept_id Entity_Concept_Id, s.concept_synonym_name Entity_Name, c.concept_code Entity_Code, 'Concept Synonym' Entity_Type, c.concept_class_id Entity_concept_class_id, c.vocabulary_id Entity_vocabulary_id
FROM cdm.concept c, cdm.concept_synonym s
WHERE S.concept_id = c.concept_id
AND c.vocabulary_id in ('NDFRT','RxNorm','Indication','ETC','ATC','VA Class','GCN_SEQNO')
AND c.concept_class_id IS NOT NULL
AND LOWER(REPLACE(REPLACE(s.concept_synonym_name, ' ', ''), '-', '')) LIKE 'lipitor'
AND getdate() >= c.valid_start_date
AND getdate() <= c.valid_end_date;"
D03 Find ingredients of a drug,"SELECT
        D.Concept_Id drug_concept_id,
        D.Concept_Name drug_name,
        D.Concept_Code drug_concept_code,
        D.Concept_Class_id drug_concept_class,
        A.Concept_Id ingredient_concept_id,
        A.Concept_Name ingredient_name,
        A.Concept_Code ingredient_concept_code,
        A.Concept_Class_id ingredient_concept_class
FROM
        cdm.concept_ancestor CA,
        cdm.concept A,
        cdm.concept D
WHERE
        CA.descendant_concept_id = D.concept_id
        AND CA.ancestor_concept_id = A.concept_id
        AND LOWER(A.concept_class_id) = 'ingredient'
        AND getdate() >= A.VALID_START_DATE
        AND getdate() <= A.VALID_END_DATE
        AND getdate() >= D.VALID_START_DATE
        AND getdate() <= D.VALID_END_DATE
        AND CA.descendant_concept_id IN (939355, 19102189, 19033566)"
D04 Find drugs by ingredient,"SELECT
        A.concept_id Ingredient_concept_id,
        A.concept_Name Ingredient_name,
        A.concept_Code Ingredient_concept_code,
        A.concept_Class_id Ingredient_concept_class,
        D.concept_id Drug_concept_id,
        D.concept_Name Drug_name,
        D.concept_Code Drug_concept_code,
        D.concept_Class_id Drug_concept_class
FROM
        cdm.concept_ancestor CA,
        cdm.concept A,
        cdm.concept D
WHERE
        CA.ancestor_concept_id = A.concept_id
        AND CA.descendant_concept_id = D.concept_id
        AND getdate() >= A.valid_start_date
        AND getdate() <= A.valid_end_date
        AND getdate() >= D.valid_start_date
        AND getdate() <= D.valid_end_date
        AND CA.ancestor_concept_id = 966991;"
D05 Find generic drugs by ingredient,"SELECT        A.concept_id Ingredient_concept_id,
                A.concept_Name Ingredient_name,
                A.concept_Code Ingredient_concept_code,
                A.concept_Class_id Ingredient_concept_class,
                D.concept_id Generic_concept_id,
                D.concept_Name Generic_name,
                D.concept_Code Generic_concept_code,
                D.concept_class_id Generic_concept_class
FROM        cdm.concept_ancestor CA,
                cdm.concept A,
                cdm.concept D
WHERE
        CA.ancestor_concept_id = 966991
AND        CA.ancestor_concept_id = A.concept_id
AND CA.descendant_concept_id = D.concept_id
AND        D.concept_class_id = 'Clinical Drug'
AND        (getdate() >= A.valid_start_date)
AND        (getdate() <= A.valid_end_date)
AND          (getdate() >= D.valid_start_date)
AND        (getdate() <= D.valid_end_date)"
D06 Find branded drugs by ingredient,"SELECT        A.concept_id Ingredient_concept_id,
                A.concept_name Ingredient_concept_name,
                A.concept_code Ingredient_concept_code,
                A.concept_class_id Ingredient_concept_class,
                D.concept_id branded_drug_id,
                D.concept_name branded_drug_name,
                D.concept_code branded_drug_concept_code,
                D.concept_class_id branded_drug_concept_class
FROM        cdm.concept_ancestor CA,
                cdm.concept A,
                cdm.concept D
WHERE
        CA.ancestor_concept_id = 966991
AND        CA.ancestor_concept_id = A.concept_id
AND        CA.descendant_concept_id = D.concept_id
AND        D.concept_class_id = 'Branded Drug'
AND        (getdate() >= A.valid_start_date)
AND        (getdate() <= A.valid_end_date)
AND        (getdate() >= D.valid_start_date)
AND        (getdate() <= D.valid_end_date)"
D07 Find single ingredient drugs by ingredient,"SELECT
      c.concept_id       AS drug_concept_id,
      c.concept_name     AS drug_concept_name,
      c.concept_class_id AS drug_concept_class_id
FROM cdm.concept c
INNER JOIN (
  SELECT drug.cid FROM (
    SELECT a.descendant_concept_id cid, count(*) cnt FROM cdm.concept_ancestor a
    INNER JOIN (
      SELECT c.concept_id FROM cdm.concept c, cdm.concept_ancestor a
      WHERE a.ancestor_concept_id = 1000560
      AND a.descendant_concept_id = c.concept_id AND c.domain_id = 'Drug'
    ) cd ON cd.concept_id = a.descendant_concept_id
    INNER JOIN cdm.concept c ON c.concept_id=a.ancestor_concept_id
        WHERE c.concept_class_id = 'Ingredient'
    GROUP BY a.descendant_concept_id
  ) drug WHERE drug.cnt = 1  -- contains only 1 ingredient
) onesie ON onesie.cid = c.concept_id
WHERE (getdate() >= valid_start_date) AND (getdate() <= valid_end_date)
;"
D08 Find drug classes for a drug or ingredient,"SELECT
 c1.concept_id                 Class_Concept_Id,
 c1.concept_name               Class_Name,
 c1.concept_code               Class_Code,
 c1.concept_class_id              Classification,
 c1.vocabulary_id              Class_vocabulary_id,
 v1.vocabulary_name            Class_vocabulary_name,
 ca.min_levels_of_separation  Levels_of_Separation
FROM cdm.concept_ancestor   ca,
 cdm.concept                c1,
 cdm.vocabulary             v1
WHERE
ca.ancestor_concept_id = c1.concept_id
AND    c1.vocabulary_id IN ('NDFRT', 'ETC', 'ATC', 'VA Class')
AND    c1.concept_class_id IN ('ATC','VA Class','Mechanism of Action','Chemical Structure','ETC','Physiologic Effect')
AND    c1.vocabulary_id = v1.vocabulary_id
AND    ca.descendant_concept_id = 1545999
AND    (getdate() >= c1.valid_start_date) AND (getdate() <= c1.valid_end_date);"
D09 Find drugs by drug class,"SELECT  c.concept_id       AS drug_concept_id,
        c.concept_name     AS drug_concept_name,
        c.concept_class_id AS drug_concept_class,
        c.concept_code     AS drug_concept_code
FROM cdm.concept AS c
  JOIN cdm.concept_ancestor AS ca
    ON c.concept_id = ca.descendant_concept_id
WHERE ca.ancestor_concept_id = 21506108
      AND c.domain_id = 'Drug'
      AND c.standard_concept = 'S'
      AND getdate() >= c.valid_start_date
      AND getdate() <= c.valid_end_date"
D10 Find ingredient by drug class,"SELECT  c.concept_id    ingredient_concept_id,
        c.concept_name  ingredient_concept_name,
        c.concept_class_id ingredient_concept_class,
        c.concept_code  ingredient_concept_code
 FROM   cdm.concept          c,
        cdm.concept_ancestor ca
 WHERE  ca.ancestor_concept_id = 21506108
   AND  c.concept_id           = ca.descendant_concept_id
   AND  c.vocabulary_id        = 'RxNorm'
   AND  c.concept_class_id     = 'Ingredient'
   AND  (getdate() >= c.valid_start_date)
   AND  (getdate() <= c.valid_end_date);"
D11 Find source codes by drug class,"SELECT  d.concept_code,
        d.vocabulary_id,
        v.vocabulary_name
 FROM cdm.concept_ancestor ca
        JOIN cdm.concept d on d.concept_id = ca.descendant_concept_id
        JOIN cdm.concept a on a.concept_id = ca.ancestor_concept_id
        JOIN cdm.vocabulary v on d.vocabulary_id = v.vocabulary_id
 WHERE  ca.ancestor_concept_id = 21506108
   AND  a.vocabulary_id = 'NDC'
   AND  d.domain_id = 'Drug'
   AND  (getdate() >= d.valid_start_date)
   AND  (getdate() <= d.valid_end_date);"
D14 Find drugs for an indication,"SELECT drug.concept_id   AS drug_concept_id,
       drug.concept_name AS drug_concept_name,
       drug.concept_code AS drug_concept_code
FROM cdm.concept AS drug
  JOIN cdm.concept_ancestor AS a
      ON a.descendant_concept_id = drug.concept_id
WHERE a.ancestor_concept_id = 1710446
  AND drug.standard_concept = 'S'
  AND drug.domain_id = 'Drug'
  AND getdate() >= drug.valid_start_date 
  AND getdate() <= drug.valid_end_date
;"
D15 Find drugs for an indication provided as condition concepts,"SELECT DISTINCT
  drug.concept_id as drug_concept_id,
  drug.concept_name as drug_concept_name,
  drug.concept_code as drug_concept_code
FROM
  cdm.concept drug,
  cdm.concept_ancestor snomed,
  cdm.concept_ancestor ind,
  cdm.concept_relationship r
WHERE
  snomed.ancestor_concept_id = 253954 AND
  snomed.descendant_concept_id = r.concept_id_1 AND
  concept_id_2 = ind.ancestor_concept_id AND
  -- r.relationship_id in (247, 248) AND
  --r.relationship_id in ('Ind/CI - SNOMED', 'SNOMED - ind/CI') AND
  ind.descendant_concept_id = drug.concept_id AND
  --drug.concept_level = 1 AND
  --drug.vocabulary_id = 'RxNorm' AND
  (getdate() >= drug.valid_start_date) AND (getdate() <= drug.valid_end_date);"
D16 Find drugs for an indication by indication type,"SELECT DISTINCT
 drug.concept_id      as drug_concept_id,
 drug.concept_name    as drug_concept_name,
 drug.concept_code    as drug_concept_code,
 rn.relationship_name as indication_type,
 indication_relation.relationship_id
FROM
  cdm.concept_relationship indication_relation
INNER JOIN cdm.concept_ancestor a
 ON a.ancestor_concept_id=indication_relation.concept_id_2
INNER JOIN cdm.concept drug
 ON drug.concept_id=a.descendant_concept_id
INNER JOIN cdm.relationship rn
 ON rn.relationship_id=indication_relation.relationship_id
WHERE indication_relation.concept_id_1 = 4345991
  AND drug.domain_id = 'Drug'
  AND drug.standard_concept = 'S'
  AND indication_relation.relationship_id in (
          'May treat',
        'Is off-label ind of',
        'Is FDA-appr ind of',
        'Inferred class of',
        'May be prevented by',
        'May prevent',
        'Has FDA-appr ind',
        'Has off-label ind',
        'May be treated by',
        'Has inferred class')
  AND (getdate() >= drug.valid_start_date) AND (getdate() <= drug.valid_end_date);"
